year,early estimate of date,late estimate of date,active year,type of violence,conflict id new,conflict name,side a id,side b id,side a name,side b name,latitude,longitude,geom_wkt,deaths side a,deaths side b,deaths civilians,deaths unknown,total deaths
2015,2015-04-27T00:00:00,2015-04-27T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.15,38.65,POINT (38.650000 48.150000),1,0,0,0,1
2015,2015-04-28T00:00:00,2015-04-28T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.15,38.65,POINT (38.650000 48.150000),1,0,0,0,1
2015,2015-04-25T00:00:00,2015-04-25T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.15,38.65,POINT (38.650000 48.150000),1,0,0,0,1
2015,2015-04-29T00:00:00,2015-04-30T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.14,37.74,POINT (37.740000 48.140000),0,1,0,0,1
2015,2015-04-29T00:00:00,2015-04-30T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,47.094565,37.815639,POINT (37.815639 47.094565),0,0,1,0,1
2015,2015-04-29T00:00:00,2015-04-30T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.0,37.805278,POINT (37.805278 48.000000),0,0,1,0,1
2015,2015-04-30T00:00:00,2015-05-01T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.15,38.65,POINT (38.650000 48.150000),2,0,0,0,2
2015,2015-05-02T00:00:00,2015-05-03T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,47.941669,37.504218,POINT (37.504218 47.941669),0,0,1,0,1
2015,2015-05-02T00:00:00,2015-05-03T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.14,37.74,POINT (37.740000 48.140000),0,0,1,0,1
2015,2015-05-03T00:00:00,2015-05-04T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.92,39.02,POINT (39.020000 48.920000),1,0,0,0,1
